id,car_auction_id,user_id,ip_address,user_agent,referrer,view_source,session_id,view_duration_seconds,created_at
57,1,14,41.99.233.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",https://default-dev-ef16ae-xqrx-tgqf-f4ju.n7e.xano.io/,web,,0,1767304954930
58,1,14,41.99.233.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",https://default-dev-ef16ae-xqrx-tgqf-f4ju.n7e.xano.io/,web,,0,1767305013538
59,2,14,41.99.233.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",https://default-dev-ef16ae-xqrx-tgqf-f4ju.n7e.xano.io/,web,,0,1767305033151
60,2,14,41.99.233.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",https://default-dev-ef16ae-xqrx-tgqf-f4ju.n7e.xano.io/,web,,0,1767305041692
61,9,14,41.99.233.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",https://default-dev-ef16ae-xqrx-tgqf-f4ju.n7e.xano.io/,web,,0,1767305046570
62,9,14,41.99.233.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",https://default-dev-ef16ae-xqrx-tgqf-f4ju.n7e.xano.io/,web,,0,1767305051726
63,7,14,41.99.233.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",https://default-dev-ef16ae-xqrx-tgqf-f4ju.n7e.xano.io/,web,,0,1767305055830
64,7,14,41.99.233.139,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",https://default-dev-ef16ae-xqrx-tgqf-f4ju.n7e.xano.io/,web,,0,1767305062667
65,2,15,152.58.28.21,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",https://default-dev-ef16ae-xqrx-tgqf-f4ju.n7e.xano.io/,web,,0,1767393668253
66,2,15,152.58.28.21,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",https://default-dev-ef16ae-xqrx-tgqf-f4ju.n7e.xano.io/,web,,0,1767393680881
